08009,新潟県,中蒲原郡,なかかんばら,2005年12月31日,五泉市に編入,2005年08月16日
0815,新潟県,栃尾市,とちお,2005年12月31日,長岡市に編入,2005年08月16日
4620,鹿児島県,いちき串木野市,いちきくしきの,2005年10月11日,串木野市、日置郡市来町の１町が合併,2005年08月16日
4605,鹿児島県,串木野市,くしきの,2005年10月10日,合併して、いちき串木野市へ,2005年08月16日
4621,鹿児島県,南さつま市,みなみさつま,2005年11月07日,加世田市、川辺郡笠沙町、大浦町、坊津町の３町と、日置郡金峰町の全１町が合併,2005年08月16日
4611,鹿児島県,加世田市,かせだ,2005年11月06日,合併して南さつま市へ,2005年08月16日
46012,鹿児島県,日置郡,ひおき,2005年11月06日,合併して南さつま市へ,2005年08月16日
4622,鹿児島県,志布志市,しぶし,2006年01月01日,曽於郡松山町、志布志町、有明町の３町が合併,2005年08月16日
4623,鹿児島県,奄美市,あまみ,2006年03月20日,名瀬市、大島郡住用村、笠利町、の１町１村が合併,2005年08月16日
4608,鹿児島県,名瀬市,なぜ,2006年03月19日,合併して奄美市へ,2005年08月16日
4714,沖縄県,宮古島市,みやこじま,2005年10月01日,平良市、宮古郡城辺町、下地町、上野村、伊良部町の３町１村が合併,2005年08月16日
4703,沖縄県,平良市,ひらら,2005年09月30日,合併して宮古島市へ,2005年08月16日
4715,沖縄県,南城市,なんじょう,2006年01月01日,島尻郡玉城村、知念村、桟敷町、大里村の１町３村が合併,2005年08月16日
22001,京都府,天田郡,あまだ,2005年12月31日,合併して福知山市へ編入,2005年08月12日
22004,京都府,加佐郡,かさ,2005年12月31日,合併して福知山市へ編入,2005年08月12日
2214,京都府,南丹市,なんたん,2006年01月01日,船井郡園部町、八木町、日吉町の３町と、北桑田郡美山町の全１町が合併,2005年08月12日
22005,京都府,北桑田郡,きたくわだ,2005年12月31日,合併して南丹市へ,2005年08月12日
0921,長野県,安曇野市,あづみの,2005年10月01日,東筑摩郡明科町の１町と南安曇郡豊科町、穂高町、三郷村、堀金村の全２町２村が合併,2005年08月12日
09016,長野県,南安曇郡,みなみあづみ,2005年09月30日,合併して安曇野市へ,2005年08月12日
0718,福島県,南相馬市,みなみそうま,2006年01月01日,原町市、相馬郡鹿島町、小高町の２町が合併,2005年08月08日
0706,福島県,原町市,はらまち,2005年12月31日,合併して南相馬市へ,2005年08月08日
0719,福島県,伊達市,だて,2006年01月01日,伊達郡伊達町、梁川町、保原町、霊山町、月舘町の５町が合併,2005年08月08日
35006,広島県,佐伯郡,さえき,2005年11月02日,佐伯郡宮島町の全１町が廿日市市へ編入※（４月８日付官報で大野町が廿日市市に編入する旨、先に告示済み）,2005年08月08日
35013,広島県,深安郡,ふかやす,2006年02月28日,深安郡神辺町の全１町が福山市へ編入,2005年08月08日
3506,広島県,因島市,いんのしま,2006年01月09日,因島市、豊田郡瀬戸田町の１町が尾道市へ編入,2005年08月08日
17001,山梨県,北巨摩郡,きたこま,2006年03月14日,北巨摩郡小淵沢町の全一村が北杜市へ編入,2005年07月29日
2811,富山県,射水市,いみず,2005年11月01日,新湊市、射水郡小杉町、大門町、下村、大島町の全３町１村が合併,2005年07月21日
2803,富山県,新湊市,しんみなと,2005年10月31日,合併して射水市へ,2005年07月21日
28001,富山県,射水郡,いみず,2005年10月31日,合併して射水市へ,2005年07月21日
28005,富山県,西砺波郡,にしとなみ,2005年10月31日,西砺波郡福岡町の全１町が高岡市に合併,2005年07月21日
4034,福岡県,朝倉市,あさくら,2006年03月20日,甘木市、朝倉郡杷木町、朝倉町の２町が合併,2005年07月21日
4013,福岡県,甘木市,あまぎ,2006年03月19日,合併して朝倉市へ,2005年07月21日
4316,熊本県,合志市,こうし,2006年02月27日,菊池郡合志町、西合志町の２町が合併,2005年07月21日
0210,青森県,平川市,ひらかわ,2006年01月01日,南津軽郡平賀町、尾上町、碇ヶ関村の２町１村が合併,2005年07月21日
03011,岩手県,稗貫郡,ひえぬき,2005年12月31日,稗貫郡大迫町、石鳥谷町の全２町と、和賀郡東和町の１町が花巻市に合併,2005年07月21日
0315,岩手県,奥州市,おうしゅう,2006年02月20日,水沢市、江刺市、胆沢郡前沢町、胆沢町、衣川村の２町１村が合併,2005年07月21日
0306,岩手県,水沢市,みずさわ,2006年02月19日,合併して奥州市へ,2005年07月21日
0312,岩手県,江刺市,えさし,2006年02月19日,合併して奥州市へ,2005年07月21日
1432,茨城県,神栖市,かみす,2005年08月01日,鹿島郡波崎町が同郡神栖町に編入、市制,2005年07月14日
1433,茨城県,行方市,なめがた,2005年09月02日,行方郡麻生町、北浦町、玉造町の全３町が合併,2005年07月14日
14009,茨城県,行方郡,なめがた,2005年09月01日,合併して行方市へ,2005年07月14日
1434,茨城県,鉾田市,ほこた,2005年10月11日,鹿島郡旭村、鉾田町、大洋村の全１町２村が、合併（波崎町が神州町に編入し８月１日に神栖市となる）,2005年07月14日
14002,茨城県,鹿島郡,かしま,2005年10月10日,合併して鉾田市へ,2005年07月14日
1435,茨城県,常総市,じょうそう,2006年01月01日,結城郡石下町が水海道市に編入,2005年04月14日
1411,茨城県,水海道市,みつかいどう,2005年12月31日,結城郡石下町が水海道市に編入、同日市名を常総に変更,2005年07月14日
14011,茨城県,西茨城郡,にしいばらき,2006年03月18日,西茨城郡友部町、岩間町の全２町が笠間市へ合併（岩瀬町は、先に桜川市へ合併）,2005年07月14日
1436,茨城県,つくばみらい市,つくばみらい,2006年03月27日,筑波郡伊奈町、谷和原村の全１町１村が合併,2005年07月14日
14007,茨城県,筑波郡,つくば,2006年03月26日,合併して、つくばみらい市へ,2005年07月14日
1437,茨城県,小美玉市,おみたま,2006年03月27日,東茨城郡小川町、美野里町の２町と新治郡玉里村の全１村（※）が合併（同郡八郷町は石岡市と合併、新治村は土浦市へ編入）,2005年07月14日
14010,茨城県,新治郡,にいはり,2006年03月26日,合併して小美玉市へ,2005年07月14日
1515,栃木県,那須烏山市,なすからすやま,2005年10月01日,那須郡南那須町、烏山町の２町が合併,2005年07月14日
1516,栃木県,下野市,しもつけ,2006年01月10日,河内郡南河内町の１町、下都賀郡石橋町、国分寺町の２町が合併,2005年07月14日
